username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
argenbb;2013-08-14 18:50;0;1;"#SocialismoElReinoDeDiosEnLaTierra #AhiVieneElTrenDePetare #AhiVieneElTrenDePetare #ChávezVive";;;#SocialismoElReinoDeDiosEnLaTierra #AhiVieneElTrenDePetare #AhiVieneElTrenDePetare #Ch;"367787941076013056";https://twitter.com/argenbb/status/367787941076013056
PaolaFrancoB;2013-08-14 18:23;1;0;"Lo mas importante de esta Revolución Socialista es la UNIDAD de los Patriotas. Eso se refleja en todos los escenarios. #ChavezVive";;;#ChavezVive;"367781022555189248";https://twitter.com/PaolaFrancoB/status/367781022555189248
AndrilyRuiz;2013-08-14 18:21;0;0;"#Cabletren Gracias a Chavez carajoooo gracias mi Líder #ChavezVive la Lucha sigue... pic.twitter.com/VQSXgAsXfM";;;#Cabletren #ChavezVive;"367780451626143746";https://twitter.com/AndrilyRuiz/status/367780451626143746
aleman72psuv;2013-08-14 18:20;5;0;"Un logro + dl Gobierno y la #Revolucion que empodera y da mejor Calidad d Vida al #PoderPopular #Petare tiene su #CableTren #ChavezVive";;;#Revolucion #PoderPopular #Petare #CableTren #ChavezVive;"367780293593559040";https://twitter.com/aleman72psuv/status/367780293593559040
josmarymoreno GraterolCRP;2013-08-14 18:20;0;0;"@gercarm_g Siguiendo camarada #ChavezVive @DanteRivasQ";;@gercarm_g @DanteRivasQ;#ChavezVive;"367780237699870720";https://twitter.com/josmarymoreno/status/367780237699870720
eltomyx;2013-08-14 17:43;0;0;"Via @VTVcanal8 “Queremos hacer de Brión un municipio ambientalista”, afirma la alcaldesa Liliana G... http://www. vtv.gob.ve #ChavezVive";;@VTVcanal8;#ChavezVive;"367771089524371456";https://twitter.com/eltomyx/status/367771089524371456
danielarivasd;2013-08-14 17:04;13;1;"A esta hora el Pdte @NicolasMaduro inaugura el CableTren Bolivariano de Petare! Un sueño del Cmdte Chávez, hecho hoy realidad #ChavezVive !";;@NicolasMaduro;#ChavezVive;"367761274635321344";https://twitter.com/danielarivasd/status/367761274635321344
perla1z_88;2013-08-14 16:34;0;0;"#ChavezVive hoy mas que nunca¡¡¡";;;#ChavezVive;"367753557161676800";https://twitter.com/perla1z_88/status/367753557161676800
camobe2;2013-08-14 16:25;0;0;"#ChavezVive Honor y gloria al comandante supremo, viviremos y venceremos por siempre. 4:25pm";;;#ChavezVive;"367751315356909569";https://twitter.com/camobe2/status/367751315356909569
nardaguzman11;2013-08-14 16:10;5;0;"A DONDE PUEDO IR PARA ACTUALIZAR MIS DATOS EN LA GRAN MISION SABER Y TRABAJO...CAMARADAS POR FAVOR URGENTE NECESITO TRABAJAR... #CHAVEZVIVE";;;#CHAVEZVIVE;"367747674344144896";https://twitter.com/nardaguzman11/status/367747674344144896
