username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SomosChavezMON;2017-01-30 19:46;0;0;"#ChávezVive #TROPA #Monagas Presidente Maduro conversó con su par sirio para destacar avances entre ambos puebl... http:// ow.ly/AEdR5096gla";;;#Ch #TROPA #Monagas;"826214926322630656";https://twitter.com/SomosChavezMON/status/826214926322630656
SomosChavezMON;2017-01-30 18:46;0;0;"#ChávezVive #TROPA #Monagas TVES transmitirá en exclusiva la Serie del Caribe 2017 http:// ow.ly/ujCV5096bo1";;;#Ch #TROPA #Monagas;"826199980583034880";https://twitter.com/SomosChavezMON/status/826199980583034880
SomosChavezMON;2017-01-30 18:46;0;0;"#ChávezVive #TROPA #Monagas Feria de alimentación expendió más de 12 mil kilos de productos en el municipio Suc... http:// ow.ly/GmM95096bo0";;;#Ch #TROPA #Monagas;"826199980578840576";https://twitter.com/SomosChavezMON/status/826199980578840576
SomosChavezMON;2017-01-30 18:46;0;0;"#ChávezVive #TROPA #Monagas Inscritos más de 22 mil jóvenes como aspirante a la PNB http:// ow.ly/t1dt5096bnZ";;;#Ch #TROPA #Monagas;"826199980478193664";https://twitter.com/SomosChavezMON/status/826199980478193664
SomosChavezMON;2017-01-30 17:46;0;0;"#ChávezVive #TROPA #Monagas India conmemora aniversario del fallecimiento de Ghandi http:// ow.ly/2CYI50965jc";;;#Ch #TROPA #Monagas;"826184889456324610";https://twitter.com/SomosChavezMON/status/826184889456324610
ADILANYMACKOLL;2017-01-30 17:04;0;0;"#chavezvive saludo camarada freddy las bolsas del CLAP Q llegan a cristo rey parroquia 23 de enero le dos aseite llegan 1 dos caraotas 1";;;#chavezvive;"826174219104817152";https://twitter.com/ADILANYMACKOLL/status/826174219104817152
SomosChavezMON;2017-01-30 16:47;0;0;"#ChávezVive #TROPA #Monagas Discusión de contratación colectiva de Sidor beneficiará 18 mil trabajadores http:// ow.ly/BTdO5095YBW";;;#Ch #TROPA #Monagas;"826169921373548544";https://twitter.com/SomosChavezMON/status/826169921373548544
golcar1;2017-01-30 15:56;0;0;"#ChavezVive http:// fb.me/6zxXE4Slk";;;#ChavezVive;"826157048903639041";https://twitter.com/golcar1/status/826157048903639041
SomosChavezMON;2017-01-30 14:47;0;0;"#ChávezVive #TROPA #Monagas Venezuela enfrenta hoy a Colombia en Suramericano Sub 20 http:// ow.ly/mcbM5095LzX";;;#Ch #TROPA #Monagas;"826139805050347520";https://twitter.com/SomosChavezMON/status/826139805050347520
SomosChavezMON;2017-01-30 14:47;0;0;"#ChávezVive #TROPA #Monagas Venezuela y Bielorrusia unidas en el apego y respeto al Derecho Internacional http:// ow.ly/y6lq5095LzY";;;#Ch #TROPA #Monagas;"826139804920324098";https://twitter.com/SomosChavezMON/status/826139804920324098
MemaEmma53;2017-01-30 14:29;9;6;"@giseelaibg @Zikdal @ZuzanTabet @ildemaropirez43 @RoaJorge1 #ChavezVive pic.twitter.com/omTNldIo0X";;@giseelaibg @Zikdal @ZuzanTabet @ildemaropirez43 @RoaJorge1;#ChavezVive;"826135343925702656";https://twitter.com/MemaEmma53/status/826135343925702656
SomosChavezMON;2017-01-30 13:45;0;0;"#ChávezVive #TROPA #Monagas Andrés Madera ganó medalla de oro en Abierto de Karate en París http:// ow.ly/RWW55095Bqy";;;#Ch #TROPA #Monagas;"826124284737286151";https://twitter.com/SomosChavezMON/status/826124284737286151
SomosChavezMON;2017-01-30 13:45;0;0;"#ChávezVive #TROPA #Monagas Visita el mural animado en honor a Zamora http:// ow.ly/tKMH5095Bqz";;;#Ch #TROPA #Monagas;"826124284733095937";https://twitter.com/SomosChavezMON/status/826124284733095937
SomosChavezMON;2017-01-30 12:45;0;0;"#ChávezVive #TROPA #Monagas Programa Soy Mujer impulsa el aparato productivo familiar http:// ow.ly/Ys8Q5095u1g";;;#Ch #TROPA #Monagas;"826109183024046081";https://twitter.com/SomosChavezMON/status/826109183024046081
SomosChavezMON;2017-01-30 12:45;0;0;"#ChávezVive #TROPA #Monagas MinPesca y poder popular impulsan producción http:// ow.ly/ahZU5095u1f";;;#Ch #TROPA #Monagas;"826109182973706240";https://twitter.com/SomosChavezMON/status/826109182973706240
SomosChavezMON;2017-01-30 12:45;0;0;"#ChávezVive #TROPA #Monagas Orquesta Filarmónica Nacional inicia ciclo aniversario http:// ow.ly/aSUz5095u1e";;;#Ch #TROPA #Monagas;"826109182801756160";https://twitter.com/SomosChavezMON/status/826109182801756160
SomosChavezMON;2017-01-30 12:45;0;0;"#ChávezVive #TROPA #Monagas Tres nuevas estaciones de combustible inician operaciones en frontera con Colombia ... http:// ow.ly/wVkT5095u1h";;;#Ch #TROPA #Monagas;"826109182759796736";https://twitter.com/SomosChavezMON/status/826109182759796736
yarsonalbornoz;2017-01-30 11:50;8;2;"Hoy en IPOSTEL celebramos #39añosDeRevoluciónPostal y 278 años del Correo de Venezuela #ConZamoraALaVictoria #ChavezVive Venceremos pic.twitter.com/yA4RQ1kIIZ";;;#39a #ConZamoraALaVictoria #ChavezVive;"826095187743096832";https://twitter.com/yarsonalbornoz/status/826095187743096832
SomosChavezMON;2017-01-30 11:46;0;0;"#ChávezVive #TROPA #Monagas Estudiantes de Cúa exaltaron legado de Zamora con jornada cultural http:// ow.ly/6KBq5095n3y";;;#Ch #TROPA #Monagas;"826094339340242944";https://twitter.com/SomosChavezMON/status/826094339340242944
la_yoanar;2017-01-30 10:56;1;2;"Camarada presidente @NicolasMaduro #ayudenos tnemos 7 años d suplentes y 5 egresadas por la mision sucre como Docentes @lamoro_r #ChavezVive";;@NicolasMaduro @lamoro_r;#ayudenos #ChavezVive;"826081692993593344";https://twitter.com/la_yoanar/status/826081692993593344
la_yoanar;2017-01-30 10:52;1;2;"Camarada presidente @NicolasMaduro #ayudenos tenemos 7 años de suplentes y 5 egresadas por la mision sucre @lamoro_r #ChavezVive";;@NicolasMaduro @lamoro_r;#ayudenos #ChavezVive;"826080733986947072";https://twitter.com/la_yoanar/status/826080733986947072
SomosChavezMON;2017-01-30 10:46;0;0;"#ChávezVive #TROPA #Monagas IND entrega material deportivo en Yare http:// ow.ly/eXVw5095fdk";;;#Ch #TROPA #Monagas;"826079174788075522";https://twitter.com/SomosChavezMON/status/826079174788075522
SomosChavezMON;2017-01-30 10:46;0;0;"#ChávezVive #TROPA #Monagas Freddy Bernal: Los Clap llegarán a 6 millones de personas http:// ow.ly/X8kn5095fdm";;;#Ch #TROPA #Monagas;"826079174771212289";https://twitter.com/SomosChavezMON/status/826079174771212289
SomosChavezMON;2017-01-30 10:46;0;0;"#ChávezVive #TROPA #Monagas Zona Activa con casi un millón de personas atendidas http:// ow.ly/eCLq5095fdl";;;#Ch #TROPA #Monagas;"826079174527950853";https://twitter.com/SomosChavezMON/status/826079174527950853
Castillodz;2017-01-30 10:20;0;0;"Ciudadano Gob.r, admiro su gestion, siempre presente con su pueblo hasta las Catacumbas. Es usted ejemplo de nuestra Revolución #ChavezVive https:// twitter.com/GobNelsonMoren o/status/825457759034417153 …";;;#ChavezVive;"826072645452124162";https://twitter.com/Castillodz/status/826072645452124162
AlfrenidePalma;2017-01-30 07:21;0;0;"@NicolasMaduro . #ChavezVive ... #Aragua . Muchas Flias preocupadas porque este mes no les ha llegado saldo a las Targetas de alimentación";;@NicolasMaduro;#ChavezVive #Aragua;"826027440170496000";https://twitter.com/AlfrenidePalma/status/826027440170496000
robertchandanga;2017-01-29 21:03;0;0;"Reactivada la línea de Hojalata Laminación en Frío #Sidor Trabajadores orgullosos de cumplirle a la patria #ChavezVive pic.twitter.com/H7vzodpkTT";;;#Sidor #ChavezVive;"825871998794465281";https://twitter.com/robertchandanga/status/825871998794465281
MemaEmma53;2017-01-29 19:48;2;0;"#ChavezVive #TropaUnidaPorElAgua SIGO RECOMIENDO https:// twitter.com/TAURO_60/statu s/825828866308632576 …";;;#ChavezVive #TropaUnidaPorElAgua;"825853052536102918";https://twitter.com/MemaEmma53/status/825853052536102918
SomosChavezMON;2017-01-29 18:46;0;0;"#ChávezVive #TROPA #Monagas Maduro hace anuncios en materia laboral y cultural para la región guayanesa http:// ow.ly/Hulq5093ZQN";;;#Ch #TROPA #Monagas;"825837595712188416";https://twitter.com/SomosChavezMON/status/825837595712188416
SomosChavezMON;2017-01-29 18:46;0;0;"#ChávezVive #TROPA #Monagas Maduro: «Aprobado el Ciclo de Cine Bicentenario» http:// ow.ly/PD0d5093ZQO";;;#Ch #TROPA #Monagas;"825837595682799616";https://twitter.com/SomosChavezMON/status/825837595682799616
SomosChavezMON;2017-01-29 18:46;0;0;"#ChávezVive #TROPA #Monagas Invertidos $ 112 millones para ampliación del Muelle Palúa de Ferrominera de Orinoc... http:// ow.ly/ihAG5093ZQP";;;#Ch #TROPA #Monagas;"825837595645050880";https://twitter.com/SomosChavezMON/status/825837595645050880
MemaEmma53;2017-01-29 18:08;16;8;"#AquiNoSeHablaMalDeChavez #ChavezVive @luibustilloso @TAURO_60 @Audetwo @IrmaPSUV @Mercedes0646 @lomb1209 pic.twitter.com/kw5Dt0iN2j";;@luibustilloso @TAURO_60 @Audetwo @IrmaPSUV @Mercedes0646 @lomb1209;#AquiNoSeHablaMalDeChavez #ChavezVive;"825827947986743297";https://twitter.com/MemaEmma53/status/825827947986743297
SomosChavezMON;2017-01-29 17:46;0;0;"#ChávezVive #TROPA #Monagas Maduro anuncia puesta en circulación nacional de billetes de Bs 5 mil y 10 mil http:// ow.ly/IPY95093Wl0";;;#Ch #TROPA #Monagas;"825822432581795840";https://twitter.com/SomosChavezMON/status/825822432581795840
SomosChavezMON;2017-01-29 17:46;0;0;"#ChávezVive #TROPA #Monagas Jorge Rodríguez: el pueblo se ha volcado a las calles para sacar su Carnet de la Pa... http:// ow.ly/Wxgi5093Wl2";;;#Ch #TROPA #Monagas;"825822432367935488";https://twitter.com/SomosChavezMON/status/825822432367935488
SomosChavezMON;2017-01-29 17:46;0;0;"#ChávezVive #TROPA #Monagas Ciclo de documentales sobre Comandante Chávez inicia el 31 de enero http:// ow.ly/a4NA5093Wl1";;;#Ch #TROPA #Monagas;"825822432363683840";https://twitter.com/SomosChavezMON/status/825822432363683840
MemaEmma53;2017-01-29 17:28;5;4;"#ChavezVive @DanielaG215 @hugbelpsuv luisdvalleji @DomingoTomoche @RYaracuyano pic.twitter.com/wzGC8x4O5H";;@DanielaG215 @hugbelpsuv @DomingoTomoche @RYaracuyano;#ChavezVive;"825817954285658116";https://twitter.com/MemaEmma53/status/825817954285658116
SomosChavezMON;2017-01-29 16:46;1;0;"#ChávezVive #TROPA #Monagas Carnet de la Patria es la base para la transformación profunda de la Revolución http:// ow.ly/alI35093RGV";;;#Ch #TROPA #Monagas;"825807303039401988";https://twitter.com/SomosChavezMON/status/825807303039401988
SomosChavezMON;2017-01-29 16:46;0;0;"#ChávezVive #TROPA #Monagas Maduro decreta 1-F Día de Júbilo Nacional para conmemorar Bicentenario del natalici... http:// ow.ly/zcEI5093RGR";;;#Ch #TROPA #Monagas;"825807302716448769";https://twitter.com/SomosChavezMON/status/825807302716448769
