username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
pedrogarciao;2017-05-30 19:47;10;3;"Chavista, reflexiona #PazyTrabajoPorVzla #ConstituyenteVA : https://www. aporrea.org/actualidad/a24 6915.html …";;;#PazyTrabajoPorVzla #ConstituyenteVA;"869701862580158464";https://twitter.com/pedrogarciao/status/869701862580158464
robperez1919;2017-05-30 19:10;0;0;"#NuevaFotoDePerfil #ConstituyenteEsJusticia #ConstituyenteVA pic.twitter.com/OaIpS4waEb";;;#NuevaFotoDePerfil #ConstituyenteEsJusticia #ConstituyenteVA;"869692610583068672";https://twitter.com/robperez1919/status/869692610583068672
anahisqrv;2017-05-30 18:07;0;0;"#PazYTrabajoPorVzla #ConstituyenteVA https:// twitter.com/DDHHMIJ/status /869676075621789696 …";;;#PazYTrabajoPorVzla #ConstituyenteVA;"869676557052391424";https://twitter.com/anahisqrv/status/869676557052391424
Strellarojacr;2017-05-30 17:51;0;0;"y esos es un pueblo....es que no has visto el verdadero pueblo revolucionario somos mayoria. #ConstituyenteVA";;;#ConstituyenteVA;"869672711475216384";https://twitter.com/Strellarojacr/status/869672711475216384
Esc27FInsurge;2017-05-30 17:42;0;0;"¿Cómo se financia la violenta oposición venezolana? http://www. cubadebate.cu/noticias/2017/ 05/30/como-se-financia-la-violenta-oposicion-venezolana/#.WS3tfYMVQdE.twitter … #ConstituyenteVA";;;# #ConstituyenteVA;"869670286219759621";https://twitter.com/Esc27FInsurge/status/869670286219759621
armaggedonx7;2017-05-30 17:01;0;0;"#NúcleoBolívar presente en la marcha de la juventud y pueblo por la paz #ConstituyenteVa leqm30 pic.twitter.com/B1cTiKXflD";;;#N #ConstituyenteVa;"869659998426673152";https://twitter.com/armaggedonx7/status/869659998426673152
FalconTP_;2017-05-30 15:58;5;2;"#Falcon Colectivos de taxistas del Mcpio Mauroa, Realizan propuestas Constituyentistas #ConstituyenteVA @TenemosPatria @jmontillapsuv pic.twitter.com/c3WpoX1lFF";;@TenemosPatria @jmontillapsuv;#Falcon #ConstituyenteVA;"869644199074942976";https://twitter.com/FalconTP_/status/869644199074942976
Yosmarypsuv;2017-05-30 15:27;1;2;"El que tenga ojos que vea camarada.. #ConstituyenteVa Si a la Constituyente.. http:// fb.me/3TvVcJn1P";;;#ConstituyenteVa;"869636298994323457";https://twitter.com/Yosmarypsuv/status/869636298994323457
PFG_CSBolivar;2017-05-30 15:16;2;1;"ALERTA UBVBolivar si estamos de lleno con la #ConstituyenteVA ¡Seguimos el legado de paz de @chavezcandanga con disciplina! @NicolasMaduro pic.twitter.com/yPwBidcGUU";;@chavezcandanga @NicolasMaduro;#ConstituyenteVA;"869633754322620420";https://twitter.com/PFG_CSBolivar/status/869633754322620420
JoselynV23;2017-05-30 15:07;0;0;"Debemos estar conscientes de que la #ConstituyenteVA , porque como estamos en #DICTADURA , no se nos está consultando, se impuso y ya.";;;#ConstituyenteVA #DICTADURA;"869631364806660097";https://twitter.com/JoselynV23/status/869631364806660097
monikbanuls99;2017-05-30 15:06;0;0;"#NúcleoBolívar presente en la marcha de la juventud y pueblo por la paz #ConstituyenteVa leqm30 http:// pbs.twimg.com/media/DBF4q5dW AAE5E86.jpg …";;;#N #ConstituyenteVa;"869631083763171329";https://twitter.com/monikbanuls99/status/869631083763171329
alecuevas250;2017-05-30 15:03;0;0;"#NúcleoBolívar presente en la marcha de la juventud y pueblo por la paz #ConstituyenteVa leqm30 http:// pbs.twimg.com/media/DBF4q5dW AAE5E86.jpg … pic.twitter.com/YasQVlfafA";;;#N #ConstituyenteVa;"869630388074893313";https://twitter.com/alecuevas250/status/869630388074893313
hannajesu;2017-05-30 15:01;0;0;"#NúcleoBolívar presente en la marcha de la juventud y pueblo por la paz #ConstituyenteVa leqm30 pic.twitter.com/bnNpCpOvXQ";;;#N #ConstituyenteVa;"869629736691138561";https://twitter.com/hannajesu/status/869629736691138561
hildamarcm;2017-05-30 14:38;0;0;"Para que vuelva la paz a esas zonas La #ConstituyenteVa https:// twitter.com/madeleintlSUR/ status/869602972766019584 …";;;#ConstituyenteVa;"869624054638096384";https://twitter.com/hildamarcm/status/869624054638096384
ConsulJuridica1;2017-05-30 14:24;5;1;"Todos acompañamos con amor y paz a nuestro Lider @rangelgomez @NidiaDeRangel , #ConstituyenteVA #BolivarPuebloDePaz pic.twitter.com/InFK2tNbwL";;@rangelgomez @NidiaDeRangel;#ConstituyenteVA #BolivarPuebloDePaz;"869620604802125826";https://twitter.com/ConsulJuridica1/status/869620604802125826
hildamarcm;2017-05-30 14:21;0;0;"Y para eso La #ConstituyenteVA https:// twitter.com/LeonerAzuaje/s tatus/869618775078916098 …";;;#ConstituyenteVA;"869619697716801536";https://twitter.com/hildamarcm/status/869619697716801536
eduarpine;2017-05-30 14:08;3;1;"Nos tenemos que dejar de vaina , operación tun tun y OLP , para terroristas,fascista, malandro, bachaquero, etc. . #ConstituyenteVa";;;#ConstituyenteVa;"869616521710100482";https://twitter.com/eduarpine/status/869616521710100482
