username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mararubiamedes;2017-06-29 19:58;2;3;"#SOSVenezuela pic.twitter.com/u5SMXNpPiv";;;#SOSVenezuela;"880576209066893312";https://twitter.com/mararubiamedes/status/880576209066893312
trafficMIRANDA;2017-06-29 19:46;19;3;"via @ebors26 : #SOSVenezuela @OEA_oficial @ONU_derechos @CNNEE https:// twitter.com/FCEUSB/status/ 880506256334745600 …";;@ebors26 @OEA_oficial @ONU_derechos @CNNEE;#SOSVenezuela;"880573213767606272";https://twitter.com/trafficMIRANDA/status/880573213767606272
rackynasser;2017-06-29 19:59;0;0;"#90 días #sosvenezuela";;;#90 #sosvenezuela;"880576507499995136";https://twitter.com/rackynasser/status/880576507499995136
guillembaches;2017-06-29 19:59;0;0;"Se cumplen 90 días de protesta y el pueblo continúa en resistencia (Video) https:// goo.gl/EQ72Sk #SOSVenezuela pic.twitter.com/lbE5Alo6nt";;;#SOSVenezuela;"880576401404866565";https://twitter.com/guillembaches/status/880576401404866565
jops2272;2017-06-29 19:58;0;0;"#SOSVenezuela https:// twitter.com/Team_AntiRojos /status/880563082166251520 …";;;#SOSVenezuela;"880576322854158336";https://twitter.com/jops2272/status/880576322854158336
Mariachituntun;2017-06-29 19:58;0;0;"@Almagro_OEA2015 @TAMARA_SUJU @ONU_derechos @marcorubio @POTUS #SOSVenezuela q están esperando para hacer algo ! https:// twitter.com/YourAnonVzla/s tatus/880575570928709633 …";;@Almagro_OEA2015 @TAMARA_SUJU @ONU_derechos @marcorubio @POTUS;#SOSVenezuela;"880576307989549056";https://twitter.com/Mariachituntun/status/880576307989549056
militzaquizena;2017-06-29 19:58;0;0;"#SOSVenezuela https:// twitter.com/danielgcolina/ status/880532529559871489 …";;;#SOSVenezuela;"880576210522263557";https://twitter.com/militzaquizena/status/880576210522263557
mararubiamedes;2017-06-29 19:58;2;3;"#SOSVenezuela pic.twitter.com/u5SMXNpPiv";;;#SOSVenezuela;"880576209066893312";https://twitter.com/mararubiamedes/status/880576209066893312
OswaldoJose71;2017-06-29 19:58;0;0;"@trafficLARA @trafficVALENCIA la foto para tu facebook. Seamos una sola imagen, #SOSVenezuela pic.twitter.com/09LJuys24r";;@trafficLARA @trafficVALENCIA;#SOSVenezuela;"880576178976940032";https://twitter.com/OswaldoJose71/status/880576178976940032
militzaquizena;2017-06-29 19:57;0;0;"#SOSVenezuela https:// twitter.com/ntn24ve/status /880574609900400640 …";;;#SOSVenezuela;"880576086941282305";https://twitter.com/militzaquizena/status/880576086941282305
