Text;Size;Color;Angle;Font;Repeat;URL
Rt;7478;Random;Random;Random;Yes;
Nicolasmaduro;1841;Random;Random;Random;Yes;
Pueblo;1276;Random;Random;Random;Yes;
Venezuela;1024;Random;Random;Random;Yes;
Año;1020;Random;Random;Random;Yes;
Hoy;1003;Random;Random;Random;Yes;
Patria;743;Random;Random;Random;Yes;
Presidente;650;Random;Random;Random;Yes;
Si;579;Random;Random;Random;Yes;
Día;543;Random;Random;Random;Yes;
Gobierno;490;Random;Random;Random;Yes;
Cuba;478;Random;Random;Random;Yes;
Chávez;477;Random;Random;Random;Yes;
Paz;416;Random;Random;Random;Yes;
Ahora;399;Random;Random;Random;Yes;
Está;392;Random;Random;Random;Yes;
Gracia;381;Random;Random;Random;Yes;
Por;380;Random;Random;Random;Yes;
Plan;379;Random;Random;Random;Yes;
Constituyente;369;Random;Random;Random;Yes;
Dcabellor;360;Random;Random;Random;Yes;
Nacion;358;Random;Random;Random;Yes;
2018;357;Random;Random;Random;Yes;
Venezolano;350;Random;Random;Random;Yes;
Revolución;348;Random;Random;Random;Yes;
País;338;Random;Random;Random;Yes;
Hace;338;Random;Random;Random;Yes;
Comandante;321;Random;Random;Random;Yes;
Vamo;311;Random;Random;Random;Yes;
Conelmazodando;302;Random;Random;Random;Yes;
Pdte;302;Random;Random;Random;Yes;
Junto;293;Random;Random;Random;Yes;
Vida;292;Random;Random;Random;Yes;
Gran;291;Random;Random;Random;Yes;
Así;290;Random;Random;Random;Yes;
Municipio;285;Random;Random;Random;Yes;
Todo;283;Random;Random;Random;Yes;
Social;282;Random;Random;Random;Yes;
Estado;281;Random;Random;Random;Yes;
Chavista;278;Random;Random;Random;Yes;
Toda;275;Random;Random;Random;Yes;
Popular;272;Random;Random;Random;Yes;
Nuevo;271;Random;Random;Random;Yes;
Amor;270;Random;Random;Random;Yes;
Dio;264;Random;Random;Random;Yes;
Siempre;264;Random;Random;Random;Yes;
Trabajo;263;Random;Random;Random;Yes;
Bolívar;253;Random;Random;Random;Yes;
Psuv;252;Random;Random;Random;Yes;
Mejor;251;Random;Random;Random;Yes;
