Text;Size;Color;Angle;Font;Repeat;URL
rt;6096;Random;Random;Random;Yes;
venezuela;1556;Random;Random;Random;Yes;
má;900;Random;Random;Random;Yes;
si;759;Random;Random;Random;Yes;
año;681;Random;Random;Random;Yes;
hoy;651;Random;Random;Random;Yes;
venezolano;641;Random;Random;Random;Yes;
que;613;Random;Random;Random;Yes;
está;520;Random;Random;Random;Yes;
día;518;Random;Random;Random;Yes;
país;460;Random;Random;Random;Yes;
maduro;431;Random;Random;Random;Yes;
vida;358;Random;Random;Random;Yes;
gobierno;325;Random;Random;Random;Yes;
2018;322;Random;Random;Random;Yes;
video;311;Random;Random;Random;Yes;
solo;309;Random;Random;Random;Yes;
gente;305;Random;Random;Random;Yes;
puede;300;Random;Random;Random;Yes;
mejor;292;Random;Random;Random;Yes;
todo;291;Random;Random;Random;Yes;
dio;289;Random;Random;Random;Yes;
gracia;288;Random;Random;Random;Yes;
ahora;284;Random;Random;Random;Yes;
pueblo;284;Random;Random;Random;Yes;
hace;280;Random;Random;Random;Yes;
hora;269;Random;Random;Random;Yes;
mundo;267;Random;Random;Random;Yes;
new;265;Random;Random;Random;Yes;
via;251;Random;Random;Random;Yes;
para;240;Random;Random;Random;Yes;
están;238;Random;Random;Random;Yes;
va;237;Random;Random;Random;Yes;
régimen;235;Random;Random;Random;Yes;
call;229;Random;Random;Random;Yes;
caracas;229;Random;Random;Random;Yes;
persona;228;Random;Random;Random;Yes;
niño;225;Random;Random;Random;Yes;
nuevo;221;Random;Random;Random;Yes;
youtube;217;Random;Random;Random;Yes;
2017;212;Random;Random;Random;Yes;
siempr;212;Random;Random;Random;Yes;
ya;211;Random;Random;Random;Yes;
est;199;Random;Random;Random;Yes;
libertad;198;Random;Random;Random;Yes;
venezolana;197;Random;Random;Random;Yes;
hambr;197;Random;Random;Random;Yes;
nunca;197;Random;Random;Random;Yes;
sosvenezuela;197;Random;Random;Random;Yes;
feliz;194;Random;Random;Random;Yes;
toda;193;Random;Random;Random;Yes;
10;188;Random;Random;Random;Yes;
ver;188;Random;Random;Random;Yes;
dictadura;188;Random;Random;Random;Yes;
familia;186;Random;Random;Random;Yes;
vía;185;Random;Random;Random;Yes;
amp;184;Random;Random;Random;Yes;
esto;181;Random;Random;Random;Yes;
foto;181;Random;Random;Random;Yes;
vez;180;Random;Random;Random;Yes;
militar;178;Random;Random;Random;Yes;
derecho;174;Random;Random;Random;Yes;
nacion;174;Random;Random;Random;Yes;
dolartoday;174;Random;Random;Random;Yes;
preso;173;Random;Random;Random;Yes;
hacer;172;Random;Random;Random;Yes;
tan;170;Random;Random;Random;Yes;
cada;169;Random;Random;Random;Yes;
banesco;168;Random;Random;Random;Yes;
esta;167;Random;Random;Random;Yes;
aquí;167;Random;Random;Random;Yes;
nicolasmaduro;167;Random;Random;Random;Yes;
da;162;Random;Random;Random;Yes;
como;161;Random;Random;Random;Yes;
presidente;161;Random;Random;Random;Yes;
político;160;Random;Random;Random;Yes;
favor;158;Random;Random;Random;Yes;
hijo;156;Random;Random;Random;Yes;
también;156;Random;Random;Random;Yes;
part;154;Random;Random;Random;Yes;
yo;153;Random;Random;Random;Yes;
bien;151;Random;Random;Random;Yes;
protesta;150;Random;Random;Random;Yes;
cuando;148;Random;Random;Random;Yes;
debe;148;Random;Random;Random;Yes;
quier;146;Random;Random;Random;Yes;
momento;146;Random;Random;Random;Yes;
millon;144;Random;Random;Random;Yes;
tiempo;144;Random;Random;Random;Yes;
day;142;Random;Random;Random;Yes;
repost;142;Random;Random;Random;Yes;
cómo;141;Random;Random;Random;Yes;
dos;140;Random;Random;Random;Yes;
urgent;140;Random;Random;Random;Yes;
navidad;139;Random;Random;Random;Yes;
bueno;139;Random;Random;Random;Yes;
sin;138;Random;Random;Random;Yes;
dice;138;Random;Random;Random;Yes;
