User,Link,Carlos,Dayana
marupardo,https://twitter.com/marupardo,Oposición,Oposición
mayuyin,https://twitter.com/mayuyin,Oposición,Oposición
TwitteoPorVE,https://twitter.com/TwitteoPorVE,Oposición,Oposición
financega,https://twitter.com/financega,Ninguno,Ninguno
jorgefuentese,https://twitter.com/jorgefuentese,Oposición,Oposición
elianacepedam,https://twitter.com/elianacepedam,Oposición,Oposición
soleramireza,https://twitter.com/soleramireza,Ninguno,Ninguno
edelgonzalzj,https://twitter.com/edelgonzalzj,Oposición,Oposición
UsecheMarisol,https://twitter.com/UsecheMarisol,Oposición,Oposición
RaizaAraujoG,https://twitter.com/RaizaAraujoG,Oposición,Oposición
CuzImElie,https://twitter.com/CuzImElie,Oposición,Ninguno
MarianexL,https://twitter.com/MarianexL,Oposición,Oposición
DanyCaraballo,https://twitter.com/DanyCaraballo,Oposición,Oposición
Guti99,https://twitter.com/Guti99,Oposición,Ninguno
corinadotdash,https://twitter.com/corinadotdash,Ninguno,Ninguno
dajopri,https://twitter.com/dajopri,Oposición,Oposición
njchaing,https://twitter.com/njchaing,Oposición,Oposición
CatanoOfficial,https://twitter.com/CatanoOfficial,Ninguno,Ninguno
RoryBurrough,https://twitter.com/RoryBurrough,Oposición,Oposición
Abeldeivid,https://twitter.com/Abeldeivid,Ninguno,Oposición
isadbf,https://twitter.com/isadbf,Oposición,Oposición
nelapalaciosr,https://twitter.com/nelapalaciosr,Oposición,Oposición
heidyhoffmann,https://twitter.com/heidyhoffmann,Oposición,Oposición
MI_EnglishJRGL,https://twitter.com/MI_EnglishJRGL,Oposición,Oposición
Hana21732,https://twitter.com/Hana21732,Ninguno,Oposición
100X100_LIBRE,https://twitter.com/100X100_LIBRE,Ninguno,Ninguno
mvdsister,https://twitter.com/mvdsister,Oposición,Oposición
willgok,https://twitter.com/willgok,Oposición,Oposición
robertoaguilarr,https://twitter.com/robertoaguilarr,Ninguno,Oposición
Chistes93,https://twitter.com/Chistes93,Ninguno,Ninguno
dpeniza,https://twitter.com/dpeniza,Oposición,Oposición
AlexandraJCMA,https://twitter.com/AlexandraJCMA,Oposición,Oposición
Hctor91_,https://twitter.com/Hctor91_,Oposición,Oposición
zerausm,https://twitter.com/zerausm,Oposición,Oposición
NegociosonlineL,https://twitter.com/NegociosonlineL,Ninguno,Oposición
revistapubliser,https://twitter.com/revistapubliser,Oposición,Oposición
aurasells,https://twitter.com/aurasells,Ninguno,Oposición
olga_gomez,https://twitter.com/olga_gomez,Ninguno,Oposición
marimacia,https://twitter.com/marimacia,Oposición,Oposición
luisarriaga2,https://twitter.com/luisarriaga2,Oposición,Oposición
liliana40,https://twitter.com/liliana40,Oposición,Oposición
rose10052,https://twitter.com/rose10052,Ninguno,Ninguno
rimaje,https://twitter.com/rimaje,Oposición,Oposición
