User,Link,Clasificador1,Clasificador2,Clasificador3
marupardo,https://twitter.com/marupardo,Oposición,Oposición,Oposición
mayuyin,https://twitter.com/mayuyin,Oposición,Oposición,Oposición
TwitteoPorVE,https://twitter.com/TwitteoPorVE,Oposición,Oposición,Oposición
financega,https://twitter.com/financega,Ninguno,Ninguno,Ninguno
jorgefuentese,https://twitter.com/jorgefuentese,Oposición,Oposición,Oposición
elianacepedam,https://twitter.com/elianacepedam,Oposición,Oposición,Oposición
soleramireza,https://twitter.com/soleramireza,Ninguno,Ninguno,Ninguno
edelgonzalzj,https://twitter.com/edelgonzalzj,Oposición,Oposición,Oposición
UsecheMarisol,https://twitter.com/UsecheMarisol,Oposición,Oposición,Oposición
RaizaAraujoG,https://twitter.com/RaizaAraujoG,Oposición,Oposición,Oposición
CuzImElie,https://twitter.com/CuzImElie,Oposición,Ninguno,Ninguno
MarianexL,https://twitter.com/MarianexL,Oposición,Oposición,Oposición
DanyCaraballo,https://twitter.com/DanyCaraballo,Oposición,Oposición,Oposición
Guti99,https://twitter.com/Guti99,Oposición,Ninguno,Ninguno
corinadotdash,https://twitter.com/corinadotdash,Ninguno,Ninguno,Ninguno
dajopri,https://twitter.com/dajopri,Oposición,Oposición,Oposición
njchaing,https://twitter.com/njchaing,Oposición,Oposición,Oposición
CatanoOfficial,https://twitter.com/CatanoOfficial,Ninguno,Ninguno,Ninguno
RoryBurrough,https://twitter.com/RoryBurrough,Oposición,Oposición,Oposición
Abeldeivid,https://twitter.com/Abeldeivid,Ninguno,Oposición,Oposición
isadbf,https://twitter.com/isadbf,Oposición,Oposición,Oposición
nelapalaciosr,https://twitter.com/nelapalaciosr,Oposición,Oposición,Oposición
heidyhoffmann,https://twitter.com/heidyhoffmann,Oposición,Oposición,Oposición
MI_EnglishJRGL,https://twitter.com/MI_EnglishJRGL,Oposición,Oposición,Oposición
Hana21732,https://twitter.com/Hana21732,Ninguno,Oposición,Oposición
100X100_LIBRE,https://twitter.com/100X100_LIBRE,Ninguno,Ninguno,Ninguno
mvdsister,https://twitter.com/mvdsister,Oposición,Oposición,Oposición
willgok,https://twitter.com/willgok,Oposición,Oposición,Oposición
robertoaguilarr,https://twitter.com/robertoaguilarr,Ninguno,Oposición,Oposición
Chistes93,https://twitter.com/Chistes93,Ninguno,Ninguno,Ninguno
dpeniza,https://twitter.com/dpeniza,Oposición,Oposición,Oposición
AlexandraJCMA,https://twitter.com/AlexandraJCMA,Oposición,Oposición,Oposición
Hctor91_,https://twitter.com/Hctor91_,Oposición,Oposición,Oposición
zerausm,https://twitter.com/zerausm,Oposición,Oposición,Oposición
NegociosonlineL,https://twitter.com/NegociosonlineL,Ninguno,Oposición,Ninguno
revistapubliser,https://twitter.com/revistapubliser,Oposición,Oposición,Oposición
aurasells,https://twitter.com/aurasells,Ninguno,Oposición,Oposición
olga_gomez,https://twitter.com/olga_gomez,Ninguno,Oposición,Ninguno
marimacia,https://twitter.com/marimacia,Oposición,Oposición,Oposición
luisarriaga2,https://twitter.com/luisarriaga2,Oposición,Oposición,Oposición
liliana40,https://twitter.com/liliana40,Oposición,Oposición,Oposición
rose10052,https://twitter.com/rose10052,Ninguno,Ninguno,Ninguno
rimaje,https://twitter.com/rimaje,Oposición,Oposición,Oposición
Chaccal_ja,https://twitter.com/Chaccal_ja,Oposición,Oposición,Oposición
Arianna_Corona,https://twitter.com/Arianna_Corona,Oposición,Oposición,Oposición
loredasilva,https://twitter.com/loredasilva,Oposición,Oposición,Oposición
Juanmicroguy,https://twitter.com/Juanmicroguy,Oposición,Oposición,Oposición
ANNAMORAT,https://twitter.com/ANNAMORAT,Oposición,Oposición,Oposición
UsecheUsechec,https://twitter.com/UsecheUsechec,Oposición,Oposición,Oposición
osvamou,https://twitter.com/osvamou,Oposición,Oposición,Oposición
correoderobert,https://twitter.com/correoderobert,Ninguno,Oposición,Ninguno
HANSELJCG,https://twitter.com/HANSELJCG,Oposición,Oposición,Oposición
Calexander_R,https://twitter.com/Calexander_R,Oposición,Oposición,Oposición
nelzimm53,https://twitter.com/nelzimm53,Oposición,Oposición,Oposición
elpajavenezuela,https://twitter.com/elpajavenezuela,Oposición,Oposición,Oposición
KhaGragirena,https://twitter.com/KhaGragirena,Oposición,Oposición,Oposición
capotecarlos,https://twitter.com/capotecarlos,Oposición,Oposición,Oposición
Marialecamero,https://twitter.com/Marialecamero,Oposición,Oposición,Oposición
C_Mendez,https://twitter.com/C_Mendez,Oposición,Oposición,Oposición
JoseMonkeySwag,https://twitter.com/JoseMonkeySwag,Ninguno,Ninguno,Ninguno
normamanchego,https://twitter.com/normamanchego,Oposición,Oposición,Oposición
MachadoClement,https://twitter.com/MachadoClement,Oposición,Oposición,Oposición
betbleu,https://twitter.com/betbleu,Oposición,Oposición,Oposición
testoysiguiendo,https://twitter.com/testoysiguiendo,Oposición,Oposición,Oposición
CourageousFaith,https://twitter.com/CourageousFaith,Ninguno,Ninguno,Ninguno
Cindygfs,https://twitter.com/Cindygfs,Oposición,Oposición,Oposición
lapizazulmuela,https://twitter.com/lapizazulmuela,Oposición,Oposición,Oposición
