User,Link,Clasificador1,Clasificador2,Clasificador3
marupardo,https://twitter.com/marupardo,Oposición,Oposición,Oposición
gabypatilla,https://twitter.com/gabypatilla,,,
mayuyin,https://twitter.com/mayuyin,Oposición,Oposición,Oposición
TwitteoPorVE,https://twitter.com/TwitteoPorVE,Oposición,Oposición,Oposición
financega,https://twitter.com/financega,Ninguno,Ninguno,Ninguno
jorgefuentese,https://twitter.com/jorgefuentese,Oposición,Oposición,Oposición
elianacepedam,https://twitter.com/elianacepedam,Oposición,Oposición,Oposición
soleramireza,https://twitter.com/soleramireza,Ninguno,Ninguno,Ninguno
edelgonzalzj,https://twitter.com/edelgonzalzj,Oposición,Oposición,Oposición
UsecheMarisol,https://twitter.com/UsecheMarisol,Oposición,Oposición,Oposición
RaizaAraujoG,https://twitter.com/RaizaAraujoG,Oposición,Oposición,Oposición
CuzImElie,https://twitter.com/CuzImElie,Oposición,Ninguno,Ninguno
MarianexL,https://twitter.com/MarianexL,Oposición,Oposición,Oposición
DanyCaraballo,https://twitter.com/DanyCaraballo,Oposición,Oposición,Oposición
Guti99,https://twitter.com/Guti99,Oposición,Ninguno,Ninguno
corinadotdash,https://twitter.com/corinadotdash,Ninguno,Ninguno,Ninguno
dajopri,https://twitter.com/dajopri,Oposición,Oposición,Oposición
njchaing,https://twitter.com/njchaing,Oposición,Oposición,Oposición
CatanoOfficial,https://twitter.com/CatanoOfficial,Ninguno,Ninguno,Ninguno
RoryBurrough,https://twitter.com/RoryBurrough,Oposición,Oposición,Oposición
Abeldeivid,https://twitter.com/Abeldeivid,Ninguno,Oposición,Oposición
isadbf,https://twitter.com/isadbf,Oposición,Oposición,Oposición
nelapalaciosr,https://twitter.com/nelapalaciosr,Oposición,Oposición,Oposición
heidyhoffmann,https://twitter.com/heidyhoffmann,Oposición,Oposición,Oposición
MI_EnglishJRGL,https://twitter.com/MI_EnglishJRGL,Oposición,Oposición,Oposición
Hana21732,https://twitter.com/Hana21732,Ninguno,Oposición,Oposición
100X100_LIBRE,https://twitter.com/100X100_LIBRE,Ninguno,Ninguno,Ninguno
mvdsister,https://twitter.com/mvdsister,Oposición,Oposición,Oposición
willgok,https://twitter.com/willgok,Oposición,Oposición,Oposición
robertoaguilarr,https://twitter.com/robertoaguilarr,Ninguno,Oposición,Oposición
Chistes93,https://twitter.com/Chistes93,Ninguno,Ninguno,Ninguno
dpeniza,https://twitter.com/dpeniza,Oposición,Oposición,Oposición
AlexandraJCMA,https://twitter.com/AlexandraJCMA,Oposición,Oposición,Oposición
Hctor91_,https://twitter.com/Hctor91_,Oposición,Oposición,Oposición
zerausm,https://twitter.com/zerausm,Oposición,Oposición,Oposición
NegociosonlineL,https://twitter.com/NegociosonlineL,Ninguno,Oposición,Ninguno
revistapubliser,https://twitter.com/revistapubliser,Oposición,Oposición,Oposición
aurasells,https://twitter.com/aurasells,Ninguno,Oposición,Oposición
olga_gomez,https://twitter.com/olga_gomez,Ninguno,Oposición,Ninguno
marimacia,https://twitter.com/marimacia,Oposición,Oposición,Oposición
LayretNCV,https://twitter.com/LayretNCV,,,
luisarriaga2,https://twitter.com/luisarriaga2,Oposición,Oposición,Oposición
liliana40,https://twitter.com/liliana40,Oposición,Oposición,Oposición
rose10052,https://twitter.com/rose10052,Ninguno,Ninguno,Ninguno
rimaje,https://twitter.com/rimaje,Oposición,Oposición,Oposición
Chaccal_ja,https://twitter.com/Chaccal_ja,Oposición,Oposición,Oposición
Arianna_Corona,https://twitter.com/Arianna_Corona,Oposición,Oposición,Oposición
loredasilva,https://twitter.com/loredasilva,Oposición,Oposición,Oposición
Juanmicroguy,https://twitter.com/Juanmicroguy,Oposición,Oposición,Oposición
ANNAMORAT,https://twitter.com/ANNAMORAT,Oposición,Oposición,Oposición
UsecheUsechec,https://twitter.com/UsecheUsechec,Oposición,Oposición,Oposición
osvamou,https://twitter.com/osvamou,Oposición,Oposición,Oposición
correoderobert,https://twitter.com/correoderobert,Ninguno,Oposición,Ninguno
HANSELJCG,https://twitter.com/HANSELJCG,Oposición,Oposición,Oposición
mgsoula,https://twitter.com/mgsoula,Oposición,Oposición,Oposición
Calexander_R,https://twitter.com/Calexander_R,Oposición,Oposición,Oposición
nelzimm53,https://twitter.com/nelzimm53,Oposición,Oposición,Oposición
elpajavenezuela,https://twitter.com/elpajavenezuela,Oposición,Oposición,Oposición
KhaGragirena,https://twitter.com/KhaGragirena,Oposición,Oposición,Oposición
capotecarlos,https://twitter.com/capotecarlos,Oposición,Oposición,Oposición
Marialecamero,https://twitter.com/Marialecamero,Oposición,Oposición,Oposición
C_Mendez,https://twitter.com/C_Mendez,Oposición,Oposición,Oposición
JoseMonkeySwag,https://twitter.com/JoseMonkeySwag,Ninguno,Ninguno,Ninguno
normamanchego,https://twitter.com/normamanchego,Oposición,Oposición,Oposición
MachadoClement,https://twitter.com/MachadoClement,Oposición,Oposición,Oposición
betbleu,https://twitter.com/betbleu,Oposición,Oposición,Oposición
testoysiguiendo,https://twitter.com/testoysiguiendo,Oposición,Oposición,Oposición
CourageousFaith,https://twitter.com/CourageousFaith,Ninguno,Ninguno,Ninguno
Cindygfs,https://twitter.com/Cindygfs,Oposición,Oposición,Oposición
lapizazulmuela,https://twitter.com/lapizazulmuela,Oposición,Oposición,Oposición
louretire,https://twitter.com/louretire,Ninguno,Ninguno,Ninguno
Ambmfitness,https://twitter.com/Ambmfitness,Oposición,Oposición,Oposición
OscarDancourt,https://twitter.com/OscarDancourt,Ninguno,Oposición,Ninguno
Guerrea13,https://twitter.com/Guerrea13,Oposición,Oposición,Oposición
IviLiveLab,https://twitter.com/IviLiveLab,Oposición,Oposición,Oposición
Naples60,https://twitter.com/Naples60,Oposición,Oposición,Oposición
mdiazd,https://twitter.com/mdiazd,Oposición,Oposición,Oposición
mariangela85,https://twitter.com/mariangela85,Oposición,Oposición,Oposición
yuko3776,https://twitter.com/yuko3776,Oposición,Oposición,Oposición
OctavioTovar4,https://twitter.com/OctavioTovar4,Oposición,Oposición,Oposición
festejoskley,https://twitter.com/festejoskley,Oposición,Oposición,Oposición
eduardozzzgt,https://twitter.com/eduardozzzgt,Oposición,Oposición,Oposición
JRvas85,https://twitter.com/JRvas85,Oposición,Oposición,Oposición
ochoamariapaula,https://twitter.com/ochoamariapaula,Ninguno,Ninguno,Ninguno
JoiverSanchez,https://twitter.com/JoiverSanchez,Oposición,Oposición,Oposición
Xilenia,https://twitter.com/Xilenia,Oposición,Oposición,Oposición
Mundelias,https://twitter.com/Mundelias,Oposición,Oposición,Oposición
RossieD3,https://twitter.com/RossieD3,Oposición,Oposición,Oposición
origomez98,https://twitter.com/origomez98,Oposición,Oposición,Oposición
lajojo9,https://twitter.com/lajojo9,Oposición,Oposición,Oposición
berro86,https://twitter.com/berro86,Oposición,Oposición,Oposición
Dayix1,https://twitter.com/Dayix1,Oposición,Oposición,Oposición
EduarlyMorante,https://twitter.com/EduarlyMorante,Oposición,Oposición,Oposición
marialvidalv,https://twitter.com/marialvidalv,Oposición,Oposición,Oposición
stefy_barboza,https://twitter.com/stefy_barboza,Oposición,Oposición,Oposición
Diazjuancarlosm,https://twitter.com/Diazjuancarlosm,,,
GracePena,https://twitter.com/GracePena,Ninguno,Oposición,Ninguno
MisabeL709,https://twitter.com/MisabeL709,Ninguno,Ninguno,Ninguno
VeneQueenRorra,https://twitter.com/VeneQueenRorra,Oposición,Oposición,Oposición
_ZuH_,https://twitter.com/_ZuH_,Oposición,Oposición,Oposición
Conserv_I,https://twitter.com/Conserv_I,Ninguno,Ninguno,Ninguno
Cyncronia,https://twitter.com/Cyncronia,Ninguno,Ninguno,Ninguno
viviecuador,https://twitter.com/viviecuador,Oposición,Oposición,Oposición
rudagonz,https://twitter.com/rudagonz,Oposición,Oposición,Oposición
ClaudeLuca_,https://twitter.com/ClaudeLuca_,Oposición,Oposición,Oposición
Mor_Urbe,https://twitter.com/Mor_Urbe,Oposición,Oposición,Oposición
3mjohana276,https://twitter.com/3mjohana276,Oposición,Oposición,Oposición
gabeweb,https://twitter.com/gabeweb,Ninguno,Oposición,Ninguno
SoniaTersigne,https://twitter.com/SoniaTersigne,Ninguno,Ninguno,Ninguno
faroinformativo,https://twitter.com/faroinformativo,Ninguno,Ninguno,Ninguno
josilysgutierre,https://twitter.com/josilysgutierre,Oposición,Oposición,Oposición
JotaSoS,https://twitter.com/JotaSoS,Oposición,Ninguno,Oposición
Gloria_Bravo,https://twitter.com/Gloria_Bravo,Oposición,Oposición,Oposición
vicks_araujo,https://twitter.com/vicks_araujo,Oposición,Oposición,Oposición
